PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"25388133","Leptospirosis in humans","Haake DA, Levett PN.","Curr Top Microbiol Immunol. 2015;387:65-97. doi: 10.1007/978-3-662-45059-8_5.","Haake DA","Curr Top Microbiol Immunol","2015","2014/11/13","PMC4442676","NIHMS690013","10.1007/978-3-662-45059-8_5"
"32325980","Systematic Review of Important Viral Diseases in Africa in Light of the 'One Health' Concept","Chauhan RP, Dessie ZG, Noreddin A, El Zowalaty ME.","Pathogens. 2020 Apr 20;9(4):301. doi: 10.3390/pathogens9040301.","Chauhan RP","Pathogens","2020","2020/04/25","PMC7238228","","10.3390/pathogens9040301"
"30606474","Dengue control in the context of climate change: Views from health professionals in different geographic regions of China","Tong MX, Hansen A, Hanson-Easey S, Xiang J, Cameron S, Liu Q, Liu X, Sun Y, Weinstein P, Han GS, Williams C, Mahmood A, Bi P.","J Infect Public Health. 2019 May-Jun;12(3):388-394. doi: 10.1016/j.jiph.2018.12.010. Epub 2018 Dec 31.","Tong MX","J Infect Public Health","2019","2019/01/05","","","10.1016/j.jiph.2018.12.010"
"32918887","Climate change could shift disease burden from malaria to arboviruses in Africa","Mordecai EA, Ryan SJ, Caldwell JM, Shah MM, LaBeaud AD.","Lancet Planet Health. 2020 Sep;4(9):e416-e423. doi: 10.1016/S2542-5196(20)30178-9.","Mordecai EA","Lancet Planet Health","2020","2020/09/12","PMC7490804","NIHMS1617429","10.1016/S2542-5196(20)30178-9"
"21320241","Dengue transmission in the Asia-Pacific region: impact of climate change and socio-environmental factors","Banu S, Hu W, Hurst C, Tong S.","Trop Med Int Health. 2011 May;16(5):598-607. doi: 10.1111/j.1365-3156.2011.02734.x. Epub 2011 Feb 14.","Banu S","Trop Med Int Health","2011","2011/02/16","","","10.1111/j.1365-3156.2011.02734.x"
"30267170","From dengue to Zika: the wide spread of mosquito-borne arboviruses","Sukhralia S, Verma M, Gopirajan S, Dhanaraj PS, Lal R, Mehla N, Kant CR.","Eur J Clin Microbiol Infect Dis. 2019 Jan;38(1):3-14. doi: 10.1007/s10096-018-3375-7. Epub 2018 Sep 28.","Sukhralia S","Eur J Clin Microbiol Infect Dis","2019","2018/09/30","","","10.1007/s10096-018-3375-7"
"32055230","The alarming outbreaks of dengue in Nepal","Adhikari N, Subedi D.","Trop Med Health. 2020 Feb 7;48:5. doi: 10.1186/s41182-020-0194-1. eCollection 2020.","Adhikari N","Trop Med Health","2020","2020/02/15","PMC7007638","","10.1186/s41182-020-0194-1"
"32543427","Knowledge, attitudes, and practices regarding dengue, chikungunya, and Zika in Cali, Colombia","Desjardins MR, Casas I, Victoria AM, Carbonell D, Dávalos DM, Delmelle EM.","Health Place. 2020 May;63:102339. doi: 10.1016/j.healthplace.2020.102339. Epub 2020 Apr 21.","Desjardins MR","Health Place","2020","2020/06/17","","","10.1016/j.healthplace.2020.102339"
"32384901","Bibliometric analysis of peer-reviewed literature on climate change and human health with an emphasis on infectious diseases","Sweileh WM.","Global Health. 2020 May 8;16(1):44. doi: 10.1186/s12992-020-00576-1.","Sweileh WM","Global Health","2020","2020/05/10","PMC7206222","","10.1186/s12992-020-00576-1"
"27049012","Climate change and health in Bangladesh: a baseline cross-sectional survey","Kabir MI, Rahman MB, Smith W, Lusha MA, Milton AH.","Glob Health Action. 2016 Apr 4;9:29609. doi: 10.3402/gha.v9.29609. eCollection 2016.","Kabir MI","Glob Health Action","2016","2016/04/07","PMC4821870","","10.3402/gha.v9.29609"
"24244765","The effects of weather and climate change on dengue","Colón-González FJ, Fezzi C, Lake IR, Hunter PR.","PLoS Negl Trop Dis. 2013 Nov 14;7(11):e2503. doi: 10.1371/journal.pntd.0002503. eCollection 2013 Nov.","Colón-González FJ","PLoS Negl Trop Dis","2013","2013/11/19","PMC3828158","","10.1371/journal.pntd.0002503"
"23332423","Autoimmunity in dengue pathogenesis","Wan SW, Lin CF, Yeh TM, Liu CC, Liu HS, Wang S, Ling P, Anderson R, Lei HY, Lin YS.","J Formos Med Assoc. 2013 Jan;112(1):3-11. doi: 10.1016/j.jfma.2012.11.006. Epub 2012 Dec 12.","Wan SW","J Formos Med Assoc","2013","2013/01/22","","","10.1016/j.jfma.2012.11.006"
"28284225","How does the dengue vector mosquito Aedes albopictus respond to global warming?","Jia P, Chen X, Chen J, Lu L, Liu Q, Tan X.","Parasit Vectors. 2017 Mar 11;10(1):140. doi: 10.1186/s13071-017-2071-2.","Jia P","Parasit Vectors","2017","2017/03/13","PMC5346228","","10.1186/s13071-017-2071-2"
"32930796","Climate change and dengue fever knowledge, attitudes and practices in Bangladesh: a social media-based cross-sectional survey","Rahman MS, Karamehic-Muratovic A, Baghbanzadeh M, Amrin M, Zafar S, Rahman NN, Shirina SU, Haque U.","Trans R Soc Trop Med Hyg. 2021 Jan 7;115(1):85-93. doi: 10.1093/trstmh/traa093.","Rahman MS","Trans R Soc Trop Med Hyg","2021","2020/09/15","","","10.1093/trstmh/traa093"
"30884421","Climate change may enable Aedes aegypti infestation in major European cities by 2100","Liu-Helmersson J, Rocklöv J, Sewe M, Brännström Å.","Environ Res. 2019 May;172:693-699. doi: 10.1016/j.envres.2019.02.026. Epub 2019 Feb 16.","Liu-Helmersson J","Environ Res","2019","2019/03/19","","","10.1016/j.envres.2019.02.026"
"21737578","The role of climate variability and change in the transmission dynamics and geographic distribution of dengue","Thai KT, Anders KL.","Exp Biol Med (Maywood). 2011 Aug;236(8):944-54. doi: 10.1258/ebm.2011.010402. Epub 2011 Jul 7.","Thai KT","Exp Biol Med (Maywood)","2011","2011/07/09","","","10.1258/ebm.2011.010402"
"31480254","Climatic Conditions: Conventional and Nanotechnology-Based Methods for the Control of Mosquito Vectors Causing Human Health Issues","Ahmed T, Hyder MZ, Liaqat I, Scholz M.","Int J Environ Res Public Health. 2019 Aug 30;16(17):3165. doi: 10.3390/ijerph16173165.","Ahmed T","Int J Environ Res Public Health","2019","2019/09/05","PMC6747303","","10.3390/ijerph16173165"
"29852867","The Development of Peptide-based Antimicrobial Agents against Dengue Virus","Huang YW, Lee CT, Wang TC, Kao YC, Yang CH, Lin YM, Huang KS.","Curr Protein Pept Sci. 2018;19(10):998-1010. doi: 10.2174/1389203719666180531122724.","Huang YW","Curr Protein Pept Sci","2018","2018/06/02","PMC6446661","","10.2174/1389203719666180531122724"
"32584659","The impact of climate change on mosquito-borne diseases in Africa","Giesen C, Roche J, Redondo-Bravo L, Ruiz-Huerta C, Gomez-Barroso D, Benito A, Herrador Z.","Pathog Glob Health. 2020 Sep;114(6):287-301. doi: 10.1080/20477724.2020.1783865. Epub 2020 Jun 25.","Giesen C","Pathog Glob Health","2020","2020/06/26","PMC7480509","","10.1080/20477724.2020.1783865"
"32369951","Past, Present, and Future Vulnerability to Dengue in Jamaica: A Spatial Analysis of Monthly Variations","Henry S, Mendonça AFA.","Int J Environ Res Public Health. 2020 May 1;17(9):3156. doi: 10.3390/ijerph17093156.","Henry S","Int J Environ Res Public Health","2020","2020/05/07","PMC7246587","","10.3390/ijerph17093156"
"32134738","Indonesia: country report on children's environmental health","Haryanto B.","Rev Environ Health. 2020 Mar 26;35(1):41-48. doi: 10.1515/reveh-2019-0088.","Haryanto B","Rev Environ Health","2020","2020/03/06","","","10.1515/reveh-2019-0088"
"32581639","Wolbachia: a possible weapon for controlling dengue in Nepal","Khadka S, Proshad R, Thapa A, Acharya KP, Kormoker T.","Trop Med Health. 2020 Jun 22;48:50. doi: 10.1186/s41182-020-00237-4. eCollection 2020.","Khadka S","Trop Med Health","2020","2020/06/26","PMC7310046","","10.1186/s41182-020-00237-4"
"1820262","Global climate change and infectious diseases","Shope R.","Environ Health Perspect. 1991 Dec;96:171-4. doi: 10.1289/ehp.9196171.","Shope R","Environ Health Perspect","1991","1991/12/01","PMC1568225","","10.1289/ehp.9196171"
"20155369","Climate change and threat of vector-borne diseases in India: are we prepared?","Dhiman RC, Pahwa S, Dhillon GP, Dash AP.","Parasitol Res. 2010 Mar;106(4):763-73. doi: 10.1007/s00436-010-1767-4. Epub 2010 Feb 13.","Dhiman RC","Parasitol Res","2010","2010/02/16","","","10.1007/s00436-010-1767-4"
"22898475","Climate change and human health: Indian context","Singh PK, Dhiman RC.","J Vector Borne Dis. 2012 Jun;49(2):55-60.","Singh PK","J Vector Borne Dis","2012","2012/08/18","","",""
"29377078","Impact of climate change on dermatological conditions related to flooding: update from the International Society of Dermatology Climate Change Committee","Dayrit JF, Bintanjoyo L, Andersen LK, Davis MDP.","Int J Dermatol. 2018 Aug;57(8):901-910. doi: 10.1111/ijd.13901. Epub 2018 Jan 29.","Dayrit JF","Int J Dermatol","2018","2018/01/30","","","10.1111/ijd.13901"
"25491436","Dengue and chikungunya: long-distance spread and outbreaks in naïve areas","Rezza G.","Pathog Glob Health. 2014 Dec;108(8):349-55. doi: 10.1179/2047773214Y.0000000163. Epub 2014 Dec 9.","Rezza G","Pathog Glob Health","2014","2014/12/11","PMC4394667","","10.1179/2047773214Y.0000000163"
"32416077","Aedes-borne disease outbreaks in West Africa: A call for enhanced surveillance","Buchwald AG, Hayden MH, Dadzie SK, Paull SH, Carlton EJ.","Acta Trop. 2020 Sep;209:105468. doi: 10.1016/j.actatropica.2020.105468. Epub 2020 May 19.","Buchwald AG","Acta Trop","2020","2020/05/17","","","10.1016/j.actatropica.2020.105468"
"27742170","The effect of climate change on skin disease in North America","Kaffenberger BH, Shetlar D, Norton SA, Rosenbach M.","J Am Acad Dermatol. 2017 Jan;76(1):140-147. doi: 10.1016/j.jaad.2016.08.014. Epub 2016 Oct 11.","Kaffenberger BH","J Am Acad Dermatol","2017","2016/10/16","","","10.1016/j.jaad.2016.08.014"
"29704626","Understanding dengue virus evolution to support epidemic surveillance and counter-measure development","Pollett S, Melendrez MC, Maljkovic Berry I, Duchêne S, Salje H, Cummings DAT, Jarman RG.","Infect Genet Evol. 2018 Aug;62:279-295. doi: 10.1016/j.meegid.2018.04.032. Epub 2018 Apr 25.","Pollett S","Infect Genet Evol","2018","2018/04/29","PMC6396301","NIHMS971035","10.1016/j.meegid.2018.04.032"
"32098179","Estimating the Threshold Effects of Climate on Dengue: A Case Study of Taiwan","Tran BL, Tseng WC, Chen CC, Liao SY.","Int J Environ Res Public Health. 2020 Feb 21;17(4):1392. doi: 10.3390/ijerph17041392.","Tran BL","Int J Environ Res Public Health","2020","2020/02/27","PMC7068348","","10.3390/ijerph17041392"
"14726459","Global change and human vulnerability to vector-borne diseases","Sutherst RW.","Clin Microbiol Rev. 2004 Jan;17(1):136-73. doi: 10.1128/cmr.17.1.136-173.2004.","Sutherst RW","Clin Microbiol Rev","2004","2004/01/17","PMC321469","","10.1128/cmr.17.1.136-173.2004"
"29305089","How Do Virus-Mosquito Interactions Lead to Viral Emergence?","Rückert C, Ebel GD.","Trends Parasitol. 2018 Apr;34(4):310-321. doi: 10.1016/j.pt.2017.12.004. Epub 2018 Jan 2.","Rückert C","Trends Parasitol","2018","2018/01/07","PMC5879000","NIHMS929580","10.1016/j.pt.2017.12.004"
"28683431","Modeling and projection of dengue fever cases in Guangzhou based on variation of weather factors","Li C, Wang X, Wu X, Liu J, Ji D, Du J.","Sci Total Environ. 2017 Dec 15;605-606:867-873. doi: 10.1016/j.scitotenv.2017.06.181. Epub 2017 Jul 3.","Li C","Sci Total Environ","2017","2017/07/07","","","10.1016/j.scitotenv.2017.06.181"
"32103776","Mosquito-borne viral diseases in the Democratic Republic of the Congo: a review","Mbanzulu KM, Mboera LEG, Luzolo FK, Wumba R, Misinzo G, Kimera SI.","Parasit Vectors. 2020 Feb 27;13(1):103. doi: 10.1186/s13071-020-3985-7.","Mbanzulu KM","Parasit Vectors","2020","2020/02/28","PMC7045448","","10.1186/s13071-020-3985-7"
"23408100","Potential distribution of dengue fever under scenarios of climate change and economic development","Aström C, Rocklöv J, Hales S, Béguin A, Louis V, Sauerborn R.","Ecohealth. 2012 Dec;9(4):448-54. doi: 10.1007/s10393-012-0808-0. Epub 2013 Feb 14.","Aström C","Ecohealth","2012","2013/02/15","","","10.1007/s10393-012-0808-0"
"19296793","Dengue and climate change in Australia: predictions for the future should incorporate knowledge from the past","Russell RC, Currie BJ, Lindsay MD, Mackenzie JS, Ritchie SA, Whelan PI.","Med J Aust. 2009 Mar 2;190(5):265-8. doi: 10.5694/j.1326-5377.2009.tb02393.x.","Russell RC","Med J Aust","2009","2009/03/20","","","10.5694/j.1326-5377.2009.tb02393.x"
"20080481","Global climate change and implications for disease emergence","Slenning BD.","Vet Pathol. 2010 Jan;47(1):28-33. doi: 10.1177/0300985809354465.","Slenning BD","Vet Pathol","2010","2010/01/19","","","10.1177/0300985809354465"
"26086887","Climate Change and Spatiotemporal Distributions of Vector-Borne Diseases in Nepal--A Systematic Synthesis of Literature","Dhimal M, Ahrens B, Kuch U.","PLoS One. 2015 Jun 18;10(6):e0129869. doi: 10.1371/journal.pone.0129869. eCollection 2015.","Dhimal M","PLoS One","2015","2015/06/19","PMC4472520","","10.1371/journal.pone.0129869"
"25808458","Effect of climate change on vector-borne disease risk in the UK","Medlock JM, Leach SA.","Lancet Infect Dis. 2015 Jun;15(6):721-30. doi: 10.1016/S1473-3099(15)70091-5. Epub 2015 Mar 23.","Medlock JM","Lancet Infect Dis","2015","2015/03/27","","","10.1016/S1473-3099(15)70091-5"
"31285699","Could exotic mosquito-borne diseases emerge in Canada with climate change?","Ng V, Rees EE, Lindsay LR, Drebot MA, Brownstone T, Sadeghieh T, Khan SU.","Can Commun Dis Rep. 2019 Apr 4;45(4):98-107. doi: 10.14745/ccdr.v45i04a04. eCollection 2019 Apr 4.","Ng V","Can Commun Dis Rep","2019","2019/07/10","PMC6587696","","10.14745/ccdr.v45i04a04"
"31114946","Aedes Mosquito Infestation in Socioeconomically Contrasting Neighborhoods of Panama City","Whiteman A, Gomez C, Rovira J, Chen G, McMillan WO, Loaiza J.","Ecohealth. 2019 Jun;16(2):210-221. doi: 10.1007/s10393-019-01417-3. Epub 2019 May 21.","Whiteman A","Ecohealth","2019","2019/05/23","","","10.1007/s10393-019-01417-3"
"16216650","Global warming and infectious disease","Khasnis AA, Nettleman MD.","Arch Med Res. 2005 Nov-Dec;36(6):689-96. doi: 10.1016/j.arcmed.2005.03.041.","Khasnis AA","Arch Med Res","2005","2005/10/12","","","10.1016/j.arcmed.2005.03.041"
"30928856","The impact of climate variability on infectious disease transmission in China: Current knowledge and further directions","Yi L, Xu X, Ge W, Xue H, Li J, Li D, Wang C, Wu H, Liu X, Zheng D, Chen Z, Liu Q, Bi P, Li J.","Environ Res. 2019 Jun;173:255-261. doi: 10.1016/j.envres.2019.03.043. Epub 2019 Mar 20.","Yi L","Environ Res","2019","2019/04/01","","","10.1016/j.envres.2019.03.043"
"21905452","Climate change and infectious diseases in New Zealand: a brief review and tentative research agenda","Wilson N, Slaney D, Baker MG, Hales S, Britton E.","Rev Environ Health. 2011;26(2):93-9. doi: 10.1515/reveh.2011.013.","Wilson N","Rev Environ Health","2011","2011/09/13","","","10.1515/reveh.2011.013"
"11250812","Climate change and mosquito-borne disease","Reiter P.","Environ Health Perspect. 2001 Mar;109 Suppl 1(Suppl 1):141-61. doi: 10.1289/ehp.01109s1141.","Reiter P","Environ Health Perspect","2001","2001/03/17","PMC1240549","","10.1289/ehp.01109s1141"
"27801802","Water-Related Impacts of Climate Change on Agriculture and Subsequently on Public Health: A Review for Generalists with Particular Reference to Pakistan","Ahmed T, Scholz M, Al-Faraj F, Niaz W.","Int J Environ Res Public Health. 2016 Oct 27;13(11):1051. doi: 10.3390/ijerph13111051.","Ahmed T","Int J Environ Res Public Health","2016","2016/11/02","PMC5129261","","10.3390/ijerph13111051"
"30743843","Dengue fever in Punjab, Pakistan: Knowledge, perception and adaptation among urban adults","Bakhsh K, Sana F, Ahmad N.","Sci Total Environ. 2018 Dec 10;644:1304-1311. doi: 10.1016/j.scitotenv.2018.07.077. Epub 2018 Jul 13.","Bakhsh K","Sci Total Environ","2018","2019/02/13","","","10.1016/j.scitotenv.2018.07.077"
"33101551","Concomitant malaria, dengue and COVID-19: an extraordinary challenge for Colombia's public health system","Poveda G.","Curr Opin Environ Sustain. 2020 Oct;46:23-26. doi: 10.1016/j.cosust.2020.10.006. Epub 2020 Oct 20.","Poveda G","Curr Opin Environ Sustain","2020","2020/10/26","PMC7574697","","10.1016/j.cosust.2020.10.006"
"31555414","Innovative Preventive and Resilience Approaches Against Aedes-linked Vector-borne Arboviral Diseases Threat and Epidemics Burden in Gulf Council Countries","Tambo E, El Dessouky AG, Khater EIM.","Oman Med J. 2019 Sep;34(5):391-396. doi: 10.5001/omj.2019.73.","Tambo E","Oman Med J","2019","2019/09/27","PMC6745427","","10.5001/omj.2019.73"
"26640300","Dengue: what it is and why there is more","Li Y, Wu S.","Sci Bull Sci Found Philipp. 2015 Apr;60(7):661-664. doi: 10.1007/s11434-015-0756-5. Epub 2015 Mar 6.","Li Y","Sci Bull Sci Found Philipp","2015","2015/12/08","PMC4666553","NIHMS740813","10.1007/s11434-015-0756-5"
"29842982","Mosquito-borne viral diseases and potential transmission blocking vaccine candidates","Bakhshi H, Failloux AB, Zakeri S, Raz A, Dinparast Djadid N.","Infect Genet Evol. 2018 Sep;63:195-203. doi: 10.1016/j.meegid.2018.05.023. Epub 2018 May 26.","Bakhshi H","Infect Genet Evol","2018","2018/05/30","","","10.1016/j.meegid.2018.05.023"
"26403283","A study of the correlation between dengue and weather in Kandy City, Sri Lanka (2003 -2012) and lessons learned","Ehelepola ND, Ariyaratne K, Buddhadasa WM, Ratnayake S, Wickramasinghe M.","Infect Dis Poverty. 2015 Sep 24;4:42. doi: 10.1186/s40249-015-0075-8.","Ehelepola ND","Infect Dis Poverty","2015","2015/09/26","PMC4581090","","10.1186/s40249-015-0075-8"
"32409874","Molecular and evolutionary analysis of dengue virus serotype 2 isolates from Korean travelers in 2015","Hwang EH, Kim G, Oh H, An YJ, Kim J, Kim JH, Hwang ES, Park JH, Hong J, Koo BS.","Arch Virol. 2020 Aug;165(8):1739-1748. doi: 10.1007/s00705-020-04653-z. Epub 2020 May 14.","Hwang EH","Arch Virol","2020","2020/05/16","PMC7351809","","10.1007/s00705-020-04653-z"
"25149418","Climate change and the emergence of vector-borne diseases in Europe: case study of dengue fever","Bouzid M, Colón-González FJ, Lung T, Lake IR, Hunter PR.","BMC Public Health. 2014 Aug 22;14:781. doi: 10.1186/1471-2458-14-781.","Bouzid M","BMC Public Health","2014","2014/08/24","PMC4143568","","10.1186/1471-2458-14-781"
"32853197","A greener vision for vector control: The example of the Singapore dengue control programme","Sim S, Ng LC, Lindsay SW, Wilson AL.","PLoS Negl Trop Dis. 2020 Aug 27;14(8):e0008428. doi: 10.1371/journal.pntd.0008428. eCollection 2020 Aug.","Sim S","PLoS Negl Trop Dis","2020","2020/08/28","PMC7451545","","10.1371/journal.pntd.0008428"
"25591942","Testing the impact of virus importation rates and future climate change on dengue activity in Malaysia using a mechanistic entomology and disease model","Williams CR, Gill BS, Mincham G, Mohd Zaki AH, Abdullah N, Mahiyuddin WR, Ahmad R, Shahar MK, Harley D, Viennet E, Azil A, Kamaluddin A.","Epidemiol Infect. 2015 Oct;143(13):2856-64. doi: 10.1017/S095026881400380X. Epub 2015 Jan 16.","Williams CR","Epidemiol Infect","2015","2015/01/17","","","10.1017/S095026881400380X"
"23144746","Climate change, population immunity, and hyperendemicity in the transmission threshold of dengue","Oki M, Yamamoto T.","PLoS One. 2012;7(10):e48258. doi: 10.1371/journal.pone.0048258. Epub 2012 Oct 29.","Oki M","PLoS One","2012","2012/11/13","PMC3483158","","10.1371/journal.pone.0048258"
"27696381","Climate change and the epidemiology of selected tick-borne and mosquito-borne diseases: update from the International Society of Dermatology Climate Change Task Force","Andersen LK, Davis MD.","Int J Dermatol. 2017 Mar;56(3):252-259. doi: 10.1111/ijd.13438. Epub 2016 Oct 1.","Andersen LK","Int J Dermatol","2017","2016/10/04","","","10.1111/ijd.13438"
"29360797","Present and Future of Dengue Fever in Nepal: Mapping Climatic Suitability by Ecological Niche Model","Acharya BK, Cao C, Xu M, Khanal L, Naeem S, Pandit S.","Int J Environ Res Public Health. 2018 Jan 23;15(2):187. doi: 10.3390/ijerph15020187.","Acharya BK","Int J Environ Res Public Health","2018","2018/01/24","PMC5857046","","10.3390/ijerph15020187"
"28717366","Interrelationship between Climatic, Ecologic, Social, and Cultural Determinants Affecting Dengue Emergence and Transmission in Puerto Rico and Their Implications for Zika Response","Matysiak A, Roess A.","J Trop Med. 2017;2017:8947067. doi: 10.1155/2017/8947067. Epub 2017 Jun 22.","Matysiak A","J Trop Med","2017","2017/07/19","PMC5498925","","10.1155/2017/8947067"
"29764403","Meteorological factors affecting dengue incidence in Davao, Philippines","Iguchi JA, Seposo XT, Honda Y.","BMC Public Health. 2018 May 15;18(1):629. doi: 10.1186/s12889-018-5532-4.","Iguchi JA","BMC Public Health","2018","2018/05/17","PMC5952851","","10.1186/s12889-018-5532-4"
"31940405","A scoping review of importation and predictive models related to vector-borne diseases, pathogens, reservoirs, or vectors (1999-2016)","Sadeghieh T, Waddell LA, Ng V, Hall A, Sargeant J.","PLoS One. 2020 Jan 15;15(1):e0227678. doi: 10.1371/journal.pone.0227678. eCollection 2020.","Sadeghieh T","PLoS One","2020","2020/01/16","PMC6961930","","10.1371/journal.pone.0227678"
"30045631","Climate Variability and Dengue Hemorrhagic Fever in Hanoi, Viet Nam, During 2008 to 2015","Thi Tuyet-Hanh T, Nhat Cam N, Thi Thanh Huong L, Khanh Long T, Mai Kien T, Thi Kim Hanh D, Huu Quyen N, Nu Quy Linh T, Rocklöv J, Quam M, Van Minh H.","Asia Pac J Public Health. 2018 Sep;30(6):532-541. doi: 10.1177/1010539518790143. Epub 2018 Jul 25.","Thi Tuyet-Hanh T","Asia Pac J Public Health","2018","2018/07/27","","","10.1177/1010539518790143"
"32889681","Cellular and molecular mechanisms of DEET toxicity and disease-carrying insect vectors: a review","Shrestha B, Lee Y.","Genes Genomics. 2020 Oct;42(10):1131-1144. doi: 10.1007/s13258-020-00991-z. Epub 2020 Sep 5.","Shrestha B","Genes Genomics","2020","2020/09/05","","","10.1007/s13258-020-00991-z"
"30560735","Novel tools for the surveillance and control of dengue: findings by the DengueTools research consortium","Wilder-Smith A, Tissera H, AbuBakar S, Kittayapong P, Logan J, Neumayr A, Rocklöv J, Byass P, Louis VR, Tozan Y, Massad E, Preet R.","Glob Health Action. 2018;11(1):1549930. doi: 10.1080/16549716.2018.1549930.","Wilder-Smith A","Glob Health Action","2018","2018/12/19","PMC6282436","","10.1080/16549716.2018.1549930"
"29844166","Limiting global-mean temperature increase to 1.5-2 °C could reduce the incidence and spatial spread of dengue fever in Latin America","Colón-González FJ, Harris I, Osborn TJ, Steiner São Bernardo C, Peres CA, Hunter PR, Lake IR.","Proc Natl Acad Sci U S A. 2018 Jun 12;115(24):6243-6248. doi: 10.1073/pnas.1718945115. Epub 2018 May 29.","Colón-González FJ","Proc Natl Acad Sci U S A","2018","2018/05/31","PMC6004471","","10.1073/pnas.1718945115"
"21273162","Impacts of climate change on public health in India: future research directions","Bush KF, Luber G, Kotha SR, Dhaliwal RS, Kapil V, Pascual M, Brown DG, Frumkin H, Dhiman RC, Hess J, Wilson ML, Balakrishnan K, Eisenberg J, Kaur T, Rood R, Batterman S, Joseph A, Gronlund CJ, Agrawal A, Hu H.","Environ Health Perspect. 2011 Jun;119(6):765-70. doi: 10.1289/ehp.1003000. Epub 2011 Jan 27.","Bush KF","Environ Health Perspect","2011","2011/01/29","PMC3114809","","10.1289/ehp.1003000"
"24159433","The effect of global warming on infectious diseases","Kurane I.","Osong Public Health Res Perspect. 2010 Dec;1(1):4-9. doi: 10.1016/j.phrp.2010.12.004. Epub 2010 Dec 7.","Kurane I","Osong Public Health Res Perspect","2010","2013/10/26","PMC3766891","","10.1016/j.phrp.2010.12.004"
"22723781","Global climate change and its potential impact on disease transmission by salinity-tolerant mosquito vectors in coastal zones","Ramasamy R, Surendran SN.","Front Physiol. 2012 Jun 19;3:198. doi: 10.3389/fphys.2012.00198. eCollection 2012.","Ramasamy R","Front Physiol","2012","2012/06/23","PMC3377959","","10.3389/fphys.2012.00198"
"22451836","DengueTools: innovative tools and strategies for the surveillance and control of dengue","Wilder-Smith A, Renhorn KE, Tissera H, Abu Bakar S, Alphey L, Kittayapong P, Lindsay S, Logan J, Hatz C, Reiter P, Rocklöv J, Byass P, Louis VR, Tozan Y, Massad E, Tenorio A, Lagneau C, L'Ambert G, Brooks D, Wegerdt J, Gubler D.","Glob Health Action. 2012;5. doi: 10.3402/gha.v5i0.17273. Epub 2012 Mar 22.","Wilder-Smith A","Glob Health Action","2012","2012/03/28","PMC3312611","","10.3402/gha.v5i0.17273"
"21464067","Disease appearance and evolution against a background of climate change and reduced resources","Yacoub S, Kotit S, Yacoub MH.","Philos Trans A Math Phys Eng Sci. 2011 May 13;369(1942):1719-29. doi: 10.1098/rsta.2011.0013.","Yacoub S","Philos Trans A Math Phys Eng Sci","2011","2011/04/06","","","10.1098/rsta.2011.0013"
"25172160","Dengue and dengue vectors in the WHO European region: past, present, and scenarios for the future","Schaffner F, Mathis A.","Lancet Infect Dis. 2014 Dec;14(12):1271-80. doi: 10.1016/S1473-3099(14)70834-5. Epub 2014 Aug 26.","Schaffner F","Lancet Infect Dis","2014","2014/08/31","","","10.1016/S1473-3099(14)70834-5"
"12243917","Potential effect of population and climate changes on global distribution of dengue fever: an empirical model","Hales S, de Wet N, Maindonald J, Woodward A.","Lancet. 2002 Sep 14;360(9336):830-4. doi: 10.1016/S0140-6736(02)09964-6.","Hales S","Lancet","2002","2002/09/24","","","10.1016/S0140-6736(02)09964-6"
"25474599","Chikungunya, climate change, and human rights","Meason B, Paterson R.","Health Hum Rights. 2014 Jun 14;16(1):105-12.","Meason B","Health Hum Rights","2014","2014/12/05","","",""
"29709630","Space-time clusters and co-occurrence of chikungunya and dengue fever in Colombia from 2015 to 2016","Desjardins MR, Whiteman A, Casas I, Delmelle E.","Acta Trop. 2018 Sep;185:77-85. doi: 10.1016/j.actatropica.2018.04.023. Epub 2018 Apr 27.","Desjardins MR","Acta Trop","2018","2018/05/01","","","10.1016/j.actatropica.2018.04.023"
"12540254","The impact of climate change on child health","Bunyavanich S, Landrigan CP, McMichael AJ, Epstein PR.","Ambul Pediatr. 2003 Jan-Feb;3(1):44-52. doi: 10.1367/1539-4409(2003)003<0044:tiocco>2.0.co;2.","Bunyavanich S","Ambul Pediatr","2003","2003/01/24","","","10.1367/1539-4409(2003)003<0044:tiocco>2.0.co;2"
"19124300","Climate change and the transmission of vector-borne diseases: a review","Zhang Y, Bi P, Hiller JE.","Asia Pac J Public Health. 2008;20(1):64-76. doi: 10.1177/1010539507308385.","Zhang Y","Asia Pac J Public Health","2008","2009/01/07","","","10.1177/1010539507308385"
"23497420","Climate change and mosquito-borne diseases in China: a review","Bai L, Morton LC, Liu Q.","Global Health. 2013 Mar 9;9:10. doi: 10.1186/1744-8603-9-10.","Bai L","Global Health","2013","2013/03/19","PMC3605364","","10.1186/1744-8603-9-10"
"18819669","The impact of climate change on the epidemiology and control of Rift Valley fever","Martin V, Chevalier V, Ceccato P, Anyamba A, De Simone L, Lubroth J, de La Rocque S, Domenech J.","Rev Sci Tech. 2008 Aug;27(2):413-26.","Martin V","Rev Sci Tech","2008","2008/09/30","","",""
"29907109","Epidemiological trends and risk factors associated with dengue disease in Pakistan (1980-2014): a systematic literature search and analysis","Khan J, Khan I, Ghaffar A, Khalid B.","BMC Public Health. 2018 Jun 15;18(1):745. doi: 10.1186/s12889-018-5676-2.","Khan J","BMC Public Health","2018","2018/06/17","PMC6003098","","10.1186/s12889-018-5676-2"
